"","trim","stat","k","t60","ne.r2","alpha","beta","w.t60","w.r2","time7","time13","time25","time37","time59"
"1","yes","RMSE",0.1,0.98,0.08,0.4,1.67,0.83,0.1,0.07,0.1,0.13,0.18,0.2
"2","yes","R2",0.07,0,0,0.01,0.02,0,0.02,0.04,0,0.1,0.18,0.02
"3","yes","Avg.Bias",-0.01,0.09,0,-0.07,0.17,0.05,-0.01,0,0,0.02,0.03,0.01
"4","yes","Max.Bias",0.28,2.56,0.21,0.8,4.13,2.24,0.24,0.19,0.42,0.23,0.29,0.54
"5","yes","Skill",-71.33,-30.57,-47.29,-72.93,-44.42,-28.65,-72.57,-23.1,-31.93,-2.71,10.55,-17.41
"6","yes","delta.RMSE",30.89,14.27,21.36,31.5,20.17,13.42,31.37,10.95,14.86,1.35,-5.42,8.36
"7","yes","p",1,0.97,1,0.97,0.98,0.97,1,0.87,0.97,0.58,0.26,0.85
"8","no","RMSE",0.08,0.87,0.07,0.34,1.44,0.74,0.08,0.07,0.09,0.13,0.16,0.23
"9","no","R2",0.01,0.04,0.03,0,0.02,0.04,0,0.05,0.02,0.14,0.27,0
"10","no","Avg.Bias",0,0.04,0,-0.04,0.12,0.02,0,0,-0.01,0,0,0
"11","no","Max.Bias",0.24,2.47,0.21,0.82,4.07,2.15,0.24,0.18,0.4,0.25,0.32,0.57
"12","no","Skill",-13.69,-2.14,-9.24,-19.91,-7.56,-2.68,-18.15,-7.35,-27.72,4.41,24.42,-54.75
"13","no","delta.RMSE",6.63,1.06,4.52,9.5,3.71,1.33,8.7,3.61,13.02,-2.23,-13.06,24.4
"14","no","p",0.78,0.58,0.75,0.86,0.68,0.57,0.88,0.75,0.93,0.37,0.06,0.96
